enzyme,color,lat,lon,Environment group,repeat_count
Glutathione peroxidase (WP_003945816.1),#42d4f4,51.63951,0.41053,Intertidal / coastal seawater★,1
Glutathione peroxidase (WP_003945816.1),#42d4f4,51.81,0.979,Marine sediment■,1
Glutathione peroxidase (WP_003945816.1),#42d4f4,54.331849,10.144127,Marine host-associated⬡,1
Glutathione peroxidase (WP_003945816.1),#42d4f4,58.964659,-3.295147,Marine host-associated⬡,1
Glutathione peroxidase (WP_003945816.1),#42d4f4,63.61472222,10.52277778,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,-62.209722,-58.945,Intertidal sediment / beach sand▲,1
PHB depolymerase (AAB40611.1),#8E63CE,-35.3413,79.9641,Plastisphere / marine biofilm✕,1
PHB depolymerase (AAB40611.1),#8E63CE,-34.0614,-73.1066,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-33.55,39.89,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-32.7171,152.1049,Marine host-associated⬡,3
PHB depolymerase (AAB40611.1),#8E63CE,-27.98,63.25,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-27.74,-117.62,Deep seawater▼,1
PHB depolymerase (AAB40611.1),#8E63CE,-23.463658,-70.504668,Plastisphere / marine biofilm✕,1
PHB depolymerase (AAB40611.1),#8E63CE,-22.74,-41.88,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-22.58,-42.02,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,-20.4075,-3.1641,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-16.21,-76.63,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-13.003,-80.809,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-8.9109,-140.2845,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-8.0045,53.2943,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,-6.1,153.0,Deep-sea / chemosynthetic sediment⬟,1
PHB depolymerase (AAB40611.1),#8E63CE,2.631577,-78.041853,Marine host-associated⬡,2
PHB depolymerase (AAB40611.1),#8E63CE,3.0,142.5,Deep-sea / chemosynthetic sediment⬟,1
PHB depolymerase (AAB40611.1),#8E63CE,3.873662,-77.290647,Marine host-associated⬡,4
PHB depolymerase (AAB40611.1),#8E63CE,5.0,130.0,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,10.847,-65.114,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,11.2,142.11,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,11.34,142.33,Deep seawater▼,2
PHB depolymerase (AAB40611.1),#8E63CE,11.34,142.33,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,11.4,142.4,Deep seawater▼,1
PHB depolymerase (AAB40611.1),#8E63CE,15.513,73.8704,Mangrove sediment✚,1
PHB depolymerase (AAB40611.1),#8E63CE,16.62,116.72,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,16.79,-88.07,Marine host-associated⬡,3
PHB depolymerase (AAB40611.1),#8E63CE,17.04,110.0,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,17.488568,106.628368,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,17.967318,-67.01883,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,18.0,116.0,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,18.37436,-64.9549,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,18.921836,72.834705,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,18.97,39.54,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,19.0,119.0,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,19.5,-96.0,Deep-sea / chemosynthetic sediment⬟,1
PHB depolymerase (AAB40611.1),#8E63CE,20.31,-94.13,Surface seawater●,2
PHB depolymerase (AAB40611.1),#8E63CE,22.5675,114.4555,Intertidal / coastal seawater★,2
PHB depolymerase (AAB40611.1),#8E63CE,22.75,-158.0,Deep seawater▼,4
PHB depolymerase (AAB40611.1),#8E63CE,22.75,-158.0,Marine sediment■,3
PHB depolymerase (AAB40611.1),#8E63CE,22.7546,-158.0067,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,23.2469494,119.6679559,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,24.56,-81.4,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,24.59,-81.4,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,24.65,-156.48,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,24.9963,-67.0246,Marine host-associated⬡,2
PHB depolymerase (AAB40611.1),#8E63CE,25.86,-68.99,Plastisphere / marine biofilm✕,1
PHB depolymerase (AAB40611.1),#8E63CE,26.16,-80.1,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,26.196,-158.156,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,27.27,-111.44,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,27.5,120.3,Mangrove sediment✚,1
PHB depolymerase (AAB40611.1),#8E63CE,27.51583333,-111.425,Deep seawater▼,1
PHB depolymerase (AAB40611.1),#8E63CE,28.33,121.18,Mangrove sediment✚,1
PHB depolymerase (AAB40611.1),#8E63CE,29.390016,47.98736,Marine sediment■,1
PHB depolymerase (AAB40611.1),#8E63CE,29.47,121.58,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,29.928,122.422,Intertidal sediment / beach sand▲,1
PHB depolymerase (AAB40611.1),#8E63CE,29.949,122.091,Plastisphere / marine biofilm✕,2
PHB depolymerase (AAB40611.1),#8E63CE,30.1282,122.74599,Intertidal / coastal seawater★,3
PHB depolymerase (AAB40611.1),#8E63CE,30.19,130.1,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,31.4,-64.1,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,31.557,130.564,Plastisphere / marine biofilm✕,2
PHB depolymerase (AAB40611.1),#8E63CE,34.365,133.217,Plastisphere / marine biofilm✕,3
PHB depolymerase (AAB40611.1),#8E63CE,34.51,138.21,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,35.09,139.14,Plastisphere / marine biofilm✕,1
PHB depolymerase (AAB40611.1),#8E63CE,36.04,120.26,Plastisphere / marine biofilm✕,3
PHB depolymerase (AAB40611.1),#8E63CE,36.178,133.277,Plastisphere / marine biofilm✕,4
PHB depolymerase (AAB40611.1),#8E63CE,36.25,-122.2099,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,36.36,120.7,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,36.95428158,126.81518554,Intertidal sediment / beach sand▲,1
PHB depolymerase (AAB40611.1),#8E63CE,37.12,142.42,Deep-sea / chemosynthetic sediment⬟,1
PHB depolymerase (AAB40611.1),#8E63CE,38.35,1.67,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,38.47,128.43,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,38.55,13.18,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,38.99,2.65,Marine host-associated⬡,2
PHB depolymerase (AAB40611.1),#8E63CE,39.48,7.24,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,39.54,116.26,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,40.0,-32.0,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,41.4,2.48,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,42.12574,139.99966,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,42.25,-70.54,Plastisphere / marine biofilm✕,3
PHB depolymerase (AAB40611.1),#8E63CE,42.42,-70.907,Intertidal / coastal seawater★,3
PHB depolymerase (AAB40611.1),#8E63CE,49.5078,-124.8272709,Marine host-associated⬡,1
PHB depolymerase (AAB40611.1),#8E63CE,74.305,-85.6552,Surface seawater●,1
PHB depolymerase (AAB40611.1),#8E63CE,79.7913,1.7609,Polar sea ice / cryosphere◆,2
Laccase (UVG67878.1),#7B3E1B,-65.8776,-68.2823,Surface seawater●,1
Laccase (UVG67878.1),#7B3E1B,-62.4714,-59.6967,Surface seawater●,1
Laccase (UVG67878.1),#7B3E1B,-50.35,-39.82,Surface seawater●,1
Laccase (UVG67878.1),#7B3E1B,-35.0328,138.517,Marine host-associated⬡,1
Laccase (UVG67878.1),#7B3E1B,-33.4,2.35,Deep-sea / chemosynthetic sediment⬟,1
Laccase (UVG67878.1),#7B3E1B,-30.1367,-43.2899,Surface seawater●,1
Laccase (UVG67878.1),#7B3E1B,-22.97,-36.95,Deep seawater▼,2
Laccase (UVG67878.1),#7B3E1B,-3.1,-102.55,Deep-sea / chemosynthetic sediment⬟,1
Laccase (UVG67878.1),#7B3E1B,-1.44,117.24,Surface seawater●,2
Laccase (UVG67878.1),#7B3E1B,9.29224,79.2223,Marine host-associated⬡,1
Laccase (UVG67878.1),#7B3E1B,12.1349,93.0676,Marine host-associated⬡,2
Laccase (UVG67878.1),#7B3E1B,14.86,-48.24,Marine host-associated⬡,1
Laccase (UVG67878.1),#7B3E1B,15.91,-124.49,Deep seawater▼,1
Laccase (UVG67878.1),#7B3E1B,20.0,-52.63,Deep seawater▼,1
Laccase (UVG67878.1),#7B3E1B,21.49,108.48,Surface seawater●,1
Laccase (UVG67878.1),#7B3E1B,22.49,114.58,Mangrove sediment✚,1
Laccase (UVG67878.1),#7B3E1B,23.4183,37.245,Surface seawater●,1
Laccase (UVG67878.1),#7B3E1B,24.1455,47.3119,Marine host-associated⬡,1
Laccase (UVG67878.1),#7B3E1B,24.61,118.3,Marine host-associated⬡,3
Laccase (UVG67878.1),#7B3E1B,27.7089,-97.3359,Marine sediment■,2
Laccase (UVG67878.1),#7B3E1B,29.501,34.917,Surface seawater●,2
Laccase (UVG67878.1),#7B3E1B,29.928,122.422,Intertidal sediment / beach sand▲,1
Laccase (UVG67878.1),#7B3E1B,29.948,122.407,Intertidal sediment / beach sand▲,1
Laccase (UVG67878.1),#7B3E1B,35.65,-7.33,Deep-sea / chemosynthetic sediment⬟,1
Laccase (UVG67878.1),#7B3E1B,37.07,131.23,Marine host-associated⬡,5
Laccase (UVG67878.1),#7B3E1B,37.17,122.568,Marine host-associated⬡,2
Laccase (UVG67878.1),#7B3E1B,37.562,122.121,Marine host-associated⬡,16
Laccase (UVG67878.1),#7B3E1B,38.914,121.615,Intertidal / coastal seawater★,1
Laccase (UVG67878.1),#7B3E1B,40.6084,-8.74803,Intertidal / coastal seawater★,1
Laccase (UVG67878.1),#7B3E1B,42.9017,-71.3385,Intertidal / coastal seawater★,1
Laccase (UVG67878.1),#7B3E1B,43.282,-49.121,Marine host-associated⬡,2
Laccase (UVG67878.1),#7B3E1B,43.29,8.1,Surface seawater●,1
